Designator,Mid X,Mid Y,Rotation,Layer
C1,71.25,-124.5,270.0,bottom
C10,68.25,-108.5,90.0,bottom
C11,71.25,-97.0,180.0,bottom
C12,82.2875,-85.75,180.0,bottom
C13,82.25,-106.0,180.0,bottom
C14,58.75,-108.5,270.0,bottom
C15,91.222599,-117.25,180.0,bottom
C16,88.0,-130.972599,270.0,bottom
C17,77.75,-124.5,270.0,bottom
C18,75.25,-137.0,270.0,bottom
C19,63.25,-138.25,270.0,bottom
C2,82.5,-123.5,0.0,bottom
C20,77.25,-150.0,0.0,bottom
C21,63.25,-150.75,90.0,bottom
C22,55.0,-135.5,180.0,bottom
C23,59.0,-150.75,90.0,bottom
C24,67.5,-152.25,0.0,bottom
C25,55.0,-141.75,180.0,bottom
C26,55.0,-137.75,180.0,bottom
C27,82.25,-156.0,90.0,bottom
C28,58.0,-157.5,90.0,bottom
C29,61.0375,-141.75,0.0,bottom
C3,79.0,-53.0,0.0,bottom
C4,79.0,-57.0,0.0,bottom
C5,71.794887,-53.0,0.0,bottom
C6,71.75,-57.0,0.0,bottom
C7,82.75,-97.0,180.0,bottom
C8,93.7875,-85.75,180.0,bottom
C9,93.75,-106.0,180.0,bottom
CV_OUT_1,71.5,-66.7,180.0,top
CV_OUT_2,71.5,-86.7,180.0,top
CV_OUT_3,71.5,-106.7,180.0,top
CV_OUT_4,71.5,-126.7,180.0,top
D1,92.25,-149.25,180.0,bottom
D2,63.5,-53.5,180.0,top
D3,63.0,-68.0,0.0,top
D4,93.75,-123.75,0.0,bottom
D5,55.465,-57.0,0.0,top
D6,55.465,-97.0,0.0,top
D7,55.465,-77.0,0.0,top
D8,55.465,-117.0,0.0,top
FB1,55.0,-139.75,0.0,bottom
GATE_1,55.5,-66.7,180.0,top
GATE_2,55.5,-106.7,180.0,top
GATE_3,55.5,-86.7,180.0,top
GATE_4,55.5,-126.7,180.0,top
H1,63.5,-61.5,180.0,bottom
J1,90.463835,-151.0,0.0,top
J2,83.975,-139.75,90.0,bottom
J3,82.55,-136.0,270.0,bottom
MOD_1,93.5,-66.7,180.0,top
MOD_2,93.5,-86.7,180.0,top
MOD_3,93.5,-106.7,180.0,top
MOD_4,93.5,-126.7,180.0,top
Q1,53.25,-52.75,0.0,top
Q2,60.1875,-97.0,0.0,top
Q3,60.5,-77.0,0.0,top
Q4,60.25,-117.0,0.0,top
R1,90.75,-152.5,270.0,bottom
R10,86.75,-93.5,270.0,bottom
R11,84.75,-93.5,90.0,bottom
R12,71.5,-117.25,270.0,bottom
R13,77.25,-105.5,0.0,bottom
R14,79.25,-102.75,180.0,bottom
R15,94.5,-63.75,0.0,bottom
R16,78.25,-86.75,270.0,bottom
R17,80.25,-88.75,270.0,bottom
R18,94.5,-78.25,0.0,bottom
R19,87.75,-77.0,270.0,bottom
R2,78.75,-132.25,270.0,bottom
R20,86.25,-80.0,0.0,bottom
R21,92.5,-98.25,0.0,top
R22,98.0,-82.75,270.0,bottom
R23,96.0,-82.75,90.0,bottom
R24,97.0,-121.0,0.0,bottom
R25,90.25,-93.5,0.0,bottom
R26,90.25,-91.5,180.0,bottom
R27,64.0,-51.25,0.0,top
R28,63.5,-70.25,0.0,top
R29,93.75,-125.75,0.0,bottom
R3,72.5,-63.5,0.0,bottom
R30,51.5,-57.5,270.0,top
R31,52.0,-97.5,90.0,top
R32,54.5,-66.75,0.0,bottom
R33,54.5,-106.75,0.0,bottom
R34,56.25,-52.75,90.0,top
R35,63.25,-97.25,90.0,top
R36,56.5,-63.5,0.0,bottom
R37,56.5,-103.5,0.0,bottom
R38,70.25,-104.5,270.0,bottom
R39,68.25,-104.5,90.0,bottom
R4,67.25,-97.75,270.0,bottom
R40,53.25,-112.25,90.0,bottom
R41,58.75,-112.5,270.0,bottom
R42,54.5,-86.75,0.0,bottom
R43,52.0,-76.5,270.0,top
R44,52.0,-116.25,270.0,top
R45,54.5,-126.75,0.0,bottom
R46,63.5,-77.0,90.0,top
R47,63.25,-117.0,270.0,top
R48,56.5,-83.5,0.0,bottom
R49,56.5,-123.5,0.0,bottom
R5,69.25,-100.0,270.0,bottom
R50,61.75,-101.75,180.0,bottom
R51,61.75,-103.75,0.0,bottom
R52,74.25,-113.0,90.0,bottom
R53,68.25,-112.5,270.0,bottom
R54,83.5,-63.5,0.0,bottom
R55,77.75,-111.0,90.0,bottom
R56,79.75,-111.0,270.0,bottom
R57,82.25,-78.25,0.0,bottom
R58,88.25,-97.75,0.0,bottom
R59,86.25,-100.25,0.0,bottom
R6,72.5,-83.75,0.0,bottom
R60,92.25,-95.75,0.0,bottom
R61,95.75,-98.25,270.0,bottom
R62,95.75,-102.25,90.0,bottom
R63,83.75,-117.75,0.0,bottom
R64,85.75,-112.5,180.0,bottom
R65,89.75,-111.75,180.0,bottom
R66,61.0,-150.75,90.0,bottom
R67,83.25,-142.75,0.0,bottom
R68,73.25,-152.5,0.0,bottom
R7,76.0,-88.25,270.0,bottom
R8,75.0,-91.25,0.0,bottom
R9,74.0,-104.25,90.0,bottom
SW1,55.5,-149.7,270.0,top
TP1,77.0,-129.0,0.0,bottom
TP2,58.75,-135.5,0.0,bottom
TP3,82.5,-55.75,270.0,bottom
TP4,98.0,-52.0,270.0,bottom
TP5,75.25,-55.75,270.0,bottom
U1,93.95,-138.32,90.0,bottom
U10,74.75,-123.25,0.0,bottom
U11,69.75,-144.5,0.0,bottom
U2,77.0,-97.0,270.0,bottom
U3,68.25,-123.25,0.0,bottom
U4,88.0,-85.75,270.0,bottom
U5,79.25,-119.25,0.0,bottom
U6,88.0,-106.0,270.0,bottom
U7,63.5,-109.5,270.0,bottom
U8,88.0,-124.25,90.0,bottom
VEL_1,82.5,-66.7,180.0,top
VEL_2,82.5,-86.7,180.0,top
VEL_3,82.5,-106.7,180.0,top
VEL_4,82.5,-126.7,180.0,top
Y1,70.25,-157.0,0.0,bottom
